Talents,Description,Prerequisite
A Machine of Flesh,Gain benefits of chosen mutation trait,
Abhor the Witch,Spend Fate point for duration of mission to gain Resistance (Psychic powers),"Adeptus Astartes, Psy Rating 0"
Acolyte Network,"Reduce influence by 5, cell can attempt missions or act as resource",
Aetheric Resonator,Activate with -10 Toughness test. Treat as hexogramatically warded for TB rounds.,Tech-Priest (Potentia Coil/Electro Conductor)
Air of Authority,Affect 1d10+Fel targets with Command,Fel 30
Ally of the Departmento Munitorum,"Re-roll failed influence tests for requisition with Imperial Guard, Navy or PDF.",
Ambidextrous,Use either hand equally well,Ag 30
Ancestral Blessing,Once per day make WP test to gain +2 melee damage for WP bonus rounds,Shamanic powers
Anima Aura,Half action to gain Stuff of nightmares trait for 1d10+TB rounds. Take 1d5 Insanity + 1 Fatigue,Tech-Priest (Potentia Coil)
Armour of contempt,Resistant to corruption,WP 40
Armour-Monger,Spend an hour to bless your armour giving it +2 AP,Techmarine
Arms Master,Use untrained ranged weapons at -10 instead of -20,BS 30
Ascended Psychic Power,Access to Rank 1 Ascended power,Psy Rating
Assassin Strike,Possible move after attack,"Ag 40, Acrobatics"
Astartes Weapon Specialisation (specific),Penalty for chosen weapon use can never be worse than -30,Astartes Weapon Training
Astartes Weapon Training,Proficient with all non exotic weapons,Adeptus Astartes
Autosanguine,Heals 2/day and always lightly wounded,
Basic Training (Bolt),Trained to use Basic Bolt weapons,
Basic Training (Flame),Trained to use Basic Flame weapons,
Basic Training (Las),Trained to use Basic Las weapons,
Basic Training (Launcher),Trained to use Basic Launcher weapons,
Basic Training (Melta),Trained to use Basic Melta weapons,
Basic Training (Plasma),Trained to use Basic Plasma weapons,
Basic Training (Primitive),Trained to use Basic Primitive weapons,
Basic Training (SP),Trained to use Basic SP weapons,
Basic Training (Universal),"Bolt, Las, Launcher, Melta,Plasma,SP",
Basic Weapon Expertise,Proficient with all (non exotic) basic weapons,
Bastion of Iron Will,Doubles defensive Psy bonus,"Psy rating, strong minded, WP 40"
Battle Rage,Parry when Frenzied,Frenzy
Beast Hunter,Gain +3 damage to critical hits to creatures hulking or larger.,"WS 35, BS 35"
Berserk Charge,+20 WS on charge,
Berserker,"Battle Rage, Berserk Charge, Frenzy, Furious Assault","WS 50, S 40"
Best of the best,Win opposed pilot rolls if tied number of successes. Same for interaction tests with Navy,"Pilot (Flyers/Space craft) +20, Pilot (Personal) +10"
Binary Chatter,"+10 to comms with servitors, +1 Crew Morale",
Blade Dancer,"Assassin's Strike, Blade Master, Combat Master, Counter Attack, Wall of Steel","Ag 40, WS 40, Acrobatics"
Blademaster,Re-roll missed bladed attack once per round,"WS 30, Melee Weapon Training(any)"
Blessed Ignorance,Cannot look at foes that create fear effects or give insanity or corruption,"Pure Faith, Holy Radiance"
Blessed Radiance,Extends faith powers to allies,"Purge the Unclean, Divine Ministration, The Emperor protects or Wrath of the Righteous"
Blind Fighting,Halve penalties when vision obscured,Per 30
Blood of the Stalker,"Make WP test to gain bonus success to concealment, shadowing and silent move tests",Shamanic powers
Bloodtracker,Receive benefits from capturing bounties,
Bolter Drill,Increase rate of fire by 1 for semi and full-auto fire of personal bolt weapons,Astartes Weapon Training
Brutal Charge,Gain +3 damage on a charge,
Bulging Biceps,Remove some bracing requirements,S 45
Burden of Guilt,Those with lower willpower must make WP check when lying to avoid coughing,Pure Faith
Call of Iron,"Ferric Lure, Ferric Summons",Mechanicus Implants
Call to Vengeance,Spend fate point when squad member is killed to restore Squad Cohesion,"Adeptus Astartes, Fel 40"
Catfall,Reduce falling damage,Ag 30
Chain Knives,Hidden Weapon Implant,Mechanicus Implants
Chain Weapon Expert,Reduced damage when hitting self with chain weapons,Melee Training (Chain)
Chem Geld,"Immune to seduction, resistance to charm",
Chosen Representitive,May speak for his organisation and +10 Fel with Imperial Authorities,Fel 30
Cleanse and Purify,-20 to Ag when avoiding Flame weapons,Flame Weapon Training
Combat Formation,Use Int bonus for initiative,Int 40
Combat Master,Opponents get no bonus when outnumbering,WS 30
Combat Sense,Use Per bonus for initiative,Per 40
Commanding Presence,May use Str for Fel tests and never suffers worse than -20 penalty,
Committed Xanthite,Re-roll failed influence tests with Xanthites. Attempt requisition of forbidden items,
Concealed Cavity,Secret body compartment,
Conciliator,Re-roll failed influence tests for requisition with various groups (Pg 115),
Conditioned Intellect,"Foresight, Total Recall",Int 40
Corpus Conversion,"Take 2 damage to add WP bonus to your Power roll (free action, may do multiple times)",Psy rating 2
Counter Attack,Free attack with successful parry,WS 40
Crack Shot,+2 critical damage with ranged weapons,BS 40
Crimelord,"Re-roll failed influence tests with underworld, Re-roll successful test with Arbites/Enforcers",
Crippling Strike,+4 critical damage with Melee weapons,WS 50
Crushing Blow,+2 damage with Melee weapons,S 40
Da Nekst Best Fing,Treat each two-non Orks (not machine trait) towards Mob Rule bonus,"Ork, Mob Rule"
Daemon Trap,Daemons must make -20 WP test to avoid trap. Takes 5 mins to create and bless.,"Pure Faith, Repel Daemon"
Dark Soul,Half penalty on malignancy tests,
Deadeye shot,Called shots at -10,BS 30
Death Blow,"Crippling Strike, Crushing Blow, Precise Blow, Sure Strike","WS 50, S 40"
Death from Above,Charge with jump pack deal +1d10 damage per 2 successes (max 2d10),"Adeptus Astartes, Pilot (Personal)"
Deathwatch Training,Auto confirm Righteous Fury vs. Xenos,"Adeptus Astartes, Deathwatch"
Decadence,Resistance to drugs and alcohol,T 30
Ded 'Ard,Blood loss every 5 rounds and re-roll failed toughness test to avoid dying,"Ork, 'Ard, Toughness 50"
Ded Sneaky,Gain Fear (1) when attacking from cover,"Ork, Concealment +10, Silent Move +10"
Deflect Shot,Parry Primitive or thrown weapons,Ag 50
Denouncer,Modifications to influence with Inquisition (Pg 116),
Die Hard,Re-roll death chance  from blood loss,WP 40
Disarm,Force opponents to drop weapon,Ag 30
Discipline Focus,Add +2 to power rolls for chosen discipline,Psy rating 3
Disturbing Voice,"+10 to interrogate/Intimidate, -10 Fel",
Divine Endurance,Ignore effects of fatigue,Pure Faith
Divine Guidance,Ignore 1 ranged penalty. On rigteous fury may ignore armour rather than increase damage,"Pure Faith, Wrath of the Righteous"
Divine Ministration,Spend fate to remove fatigue or heal,Pure Faith
Divine Ministration,Medicae tests are 1 step easier and heal an extra WP bonus damage or remove all fatigue,"Pure Faith, Martyr's Gift"
Divine Symbol,"Immune to possession, +30 vs Daemonic Psychic powers, -10 to hit by Daemons","Pure Faith, Daemon Trap"
Divine Touch,Touch to make Psyker/Corrupt to test WP or take effects of critical 1d5+2 (E),"Pure Faith, The Passion, Divine Guidance"
Double Team,Additional +10 for ganging up,
Drill Instruction,Command Test to allows others to use weapon type you are proficient with,
Dual Shot,Ballistic shot hits twice,"Ag 40, Two weapon wielder"
Dual Strike,Melee weapon hits twice,"Ag 40, Two weapon wielder"
Duty unto Death,Temporarily ignore injuries,WP 45
Electrical Succour,+10 bonus to T Tests to remove fatigue,Mechanicus Implants
Electro Graft Use,"+10 Inquiry,Tech-Use,Common Knowledge",
Electro Illumination,"Energy Cache, Luminen Blast, Luminen Charge, Luminen Shock",Mechanicus Implants
Enemy (Academics),-10 Fel with chosen group,
Enemy (Adepta Sororitas),-10 Fel with chosen group,
Enemy (Adeptus Arbites),-10 Fel with chosen group,
Enemy (Adeptus Astartes),-10 Fel with chosen group,
Enemy (Adeptus Mechanicus),-10 Fel with chosen group,
Enemy (Administratum),-10 Fel with chosen group,
Enemy (Astropaths),-10 Fel with chosen group,
Enemy (Chartist Captains),-10 Fel with chosen group,
Enemy (Cult (Specific)),-10 Fel with chosen cult,
Enemy (Death Cults),-10 Fel with chosen group,
Enemy (Ecclesiarchy),-10 Fel with chosen group,
Enemy (Enforcers),-10 Fel with chosen group,
Enemy (Government),-10 Fel with chosen group,
Enemy (Imperial Guard),-10 Fel with chosen group,
Enemy (Imperial Navy),-10 Fel with chosen group,
Enemy (Inquisition faction (Specific)),-10 Fel with chosen faction,
Enemy (Inquisition),-10 Fel with chosen group,
Enemy (Inquisitor (Specific)),-10 Fel with chosen inquisitor,
Enemy (Middle Classes),-10 Fel with chosen group,
Enemy (Military),-10 Fel with chosen group,
Enemy (Navigators),-10 Fel with chosen group,
Enemy (Nobility),-10 Fel with chosen group,
Enemy (Officio Assassinorum),-10 Fel with chosen group,
Enemy (Planet (Specific)),-10 Fel with chosen group,
Enemy (Recidivist Organisation (Specific)),-10 Fel with chosen group,
Enemy (Rogue Trader),-10 Fel with chosen group,
Enemy (Underworld),-10 Fel with chosen group,
Enemy (Workers),-10 Fel with chosen group,
Energy Cache,"Lumen Blast, Charge and shock fatigue free",Mechanicus Implants
Enhanced Bionic Frame,Gain auto-stabilise trait,Machinator array
Exemplar of Honour,Once per round spend fate to increase Cohesion by Fel bonus,Adeptus Astartes
Exemplar of Metal,"Enhanced Bionic Frame, Machinator Array, Mechadendrite Use, The Flesh is Weak",Mechanicus Implants
Exotic Weapon Training,chosen weapon proficiency,
Eye of Vengeance,Increase Pen of a single shot by the number of successes. Righteous fury auto confirms,"Astartes Weapon Training, BS 50"
Faith Talent,Spend Fate point to activate chosen faith talent. Burn for bonus effects,"Pure Faith, Varies"
Favoured by fate,Gain a fate point (manually added),
Favoured by the warp,Roll twice and choose best result on psychic phenomena,WP 35
Fear (1),Opponents must make WP fear check,"Hulking, Unnatural Strength x 2, Intimidate +10"
Fearless,Immune to fear and pinning,
Feedback Screech,"30m radius, test WP or lose half action",Mechanicus Implants
Ferric Lure,WP test to call 1kg/WP metal objects,Mechanicus Implants
Ferric Summons,WP test to call 2kg/WP metal objects,"Mechanicus Implants, Ferric Lure"
Flagellant,Flagellate self for 20 mins (1 damage) to gain +10 WP vs mind control and malignancy,
Flame Weapon Expert,All Flame weapons are treated as reliable,Basic Training (Flame)
Flame Weapon Training,Proficient with flame weapons,
Flames of Faith,Fire or Flame/Incendiary weapon deals extra 1d10 damage and -10 to Ag to avoid.,"Pure Faith, Wrath of the Righteous"
Flesh Render,Add 1 dice to those rolled for Tearing damage (taking best one),Adeptus Astartes
Foresight,Contemplate to gain +10 on next test,Int 30
Frenzy,"Enter Rage, +10 WS, S, T,WP, -20 BS, Int.",
Fuelled By Flesh,Take 1d5 damage to re-roll failed manifestation. -20 to resist disease/poison.,Sorcerer
Furious assault,WS test to gain second attack,WS 35
Give it Sum Dakka!,Suppress with an Ork Shoota as a half action,"Ork, Bulging Biceps, Strength 50"
Good Reputation,Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Academics),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Adeptus Arbites),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Adeptus Astartes),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Adeptus Mechanicus),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Adeptus Sororitas),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Adeptus Titanicus),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Administratum),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Astropaths),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Chartist Captains),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Cult (Specific)),Bonuses with chosen cult,"Fel 50, Peer"
Good reputation (Death Worlders),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Eccesiarchy),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Enforcers),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Feral worlders),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Government),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Hivers),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Imperial Guard),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Imperial Navy),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Inquisition),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Mercenaries),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Middle Classes),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Military),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Navigators),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Nobility),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (PDF),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Pilgrims),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Planet (Specific)),Bonuses with chosen planet,"Fel 50, Peer"
Good reputation (Recidivist Organisation (Specific)),Bonuses with chosen organisation,"Fel 50, Peer"
Good reputation (Rogue Trader),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (the Insane),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Underworld),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Void born),Bonuses with certain groups,"Fel 50, Peer"
Good reputation (Workers),Bonuses with certain groups,"Fel 50, Peer"
Grace,Allies may use your fate points. Points are not lost on a roll of 8 or higher.,Pure Faith
Gravic Levitation,"Maglev Grace, Maglev Transcendence",Mechanicus Implants
Greed is Good,Reroll failed WP tests to avoid fear or pinning,Mercenary
Guardian,Switch location with an ally,Ag 40
Gun Blessing,Un-jam Int bonus guns within 10m,Mechanicus Implants
Gunfighter Saint,"Ambidextrous, Two weapon (Ballistic), Dual Shot, Independent Targeting, Gunslinger","BS 40, Ag 40"
Gunslinger,Reduces penalties to BS by 10 for duel wielding ballistic weapons,"BS 40, Two-weapon wielder"
Hammer Blow,"With melee all-out-attack, add 1/2 Str bonus to Pen. Weapon gains shocking trait",Adeptus Astartes
Hand of the Emperor,You and allies gain unnatural strength (x2) but decrease Ag Bonus by 2,Pure Faith
Hard Bargain,+1 to profit factor,
Hard Target,-20 to hit you when running,Ag 40
Hardy,Always treated as lightly wounded,T 40
Hatred (Background),+10 WS vs background specific group,
Hatred (Chaos worshippers),+10 WS vs Chaos worshippers,
Hatred (Criminals),+10 WS vs Criminals,
Hatred (Cult (Specific)),+10 WS vs Cult (chosen),
Hatred (Daemons),+10 WS vs Daemons,
Hatred (Heretics),+10 WS vs Heretics,
Hatred (Imperial Guard),+10 WS vs Imperial Guards,
Hatred (Imperial Navy),+10 WS vs Imperial Navy,
Hatred (Mutants),+10 WS vs Mutants,
Hatred (Pirates),+10 WS vs Pirates,
Hatred (Psykers),+10 WS vs Psykers,
Hatred (Rogue Trader),+10 WS vs Specific Rogue Trader,
Hatred (Tech Heretics),+10 WS vs Tech Heretics,
Hatred (Witches),+10 WS vs Witches,
Hatred (Xeno (Specific)),+10 WS vs Xeno (chosen),
Heavy Training (Bolt),Trained to use Heavy Bolt weapons,
Heavy Training (Flame),Trained to use Heavy Flame weapons,
Heavy Training (Las),Trained to use Heavy Las weapons,
Heavy Training (Launcher),Trained to use Heavy Launcher weapons,
Heavy Training (Melta),Trained to use Heavy Melta weapons,
Heavy Training (Plasma),Trained to use Heavy Plasma weapons,
Heavy Training (Primitive),Trained to use Heavy Primitive weapons,
Heavy Training (SP),Trained to use Heavy SP weapons,
Heavy Weapon Expertise,Proficient with all (non exotic) heavy weapons,
Heavy Weapon Training,Proficiency with chosen weapon group,
Heightened Reactions,"Quick Draw, Paranoia, Rapid Reaction, Leap Up, Light Sleeper, Lightning Reflexes","Ag 40, Per 40"
Heightened Sense - Sight,+10 sight based tests,
Heightened Sense - Smell,+10 smell based tests,
Heightened Sense - Sound,+10 sound based tests,
Heightened Sense - Taste,+10 taste based tests,
Heightened Sense - Touch,+10 touch based tests,
Heroic Leadership,"Air of Authority, Iron Discipline, Into the Jaws of Hell, Master Orator","Fel 30, WP 30, Command"
Hidden Cultist,Member of a cult,
Hip Shooting,Free attack when moving,"BS 40, Ag 40"
Hit and Run,May disengage as a half action or move away at jump pack speed as full action,
Holy Hatred,Gain Hatred against those not true servants of the Emperor or +5 WS if already posssed,
Holy Light,"Shed holy light that damages some creatures and affects ""to hit"" rolls. BM Pg 105","Pure Faith, Holy Radiance"
Holy Radiance,Allies gain immunity to Daemonic presence and +10 vs fear,Pure Faith
Hotshot Pilot,All Pilot skills are basic,"Ag 40, Pilot"
Hulking,"Increase size to Hulking - increase speed, opponents gain +10 WS, you suffer -10 concealment","Str 50, T 50"
Hunter of Aliens,Gain +10 WS and +2 damage vs. Aliens,
Hyperactive Nymune Organ,Gain extra reaction each round. Move faster. May be fatigued if used consecutively.,Kroot
Icon of Duty,Spend a fate point for various effects for duration of encounter,
Improved Warp Sense,Psyniscience test are free actions,Warp Sense
Independent targeting,Able to fire at targets more than 10m apart,BS 40
Indomitable Fortitude,"Die Hard, Hardy, Iron Jaw, Resistance (Cold, Heat, Poison), True Grit","T 40, WP 40"
Infused Knowledge,Treat Common and Scholastic Lore as basic skills,Int 40
Insanely Faithful,Roll twice to resist shock and take best result,
Inspire Wrath,Inspire crowds to anger,Fel 30
Into the jaws of hell,Minions immune to fear and pinning,Iron Discipline
Iron Discipline,Minions can re-roll fear and pinning tests,"WP 30, Command"
Iron Jaw,Test Toughness to overcome stunning,T 40
I'z Da Biggest,"Use Might makes right with any allies, affect 10x Strength bonus creatures","Ork, Might Makes Right, Intimidate +10"
Jaded,Never gain insanity from ordinary horrors,WP 30
Killing Strike,"During All out attack, spend fate to make attack impossible to parry or dodge",Adeptus Astartes
Kroot Leap,"Jump on charge to avoid obstacles, free knock down action if hits.","Kroot, Str 45, Ag 45"
Labyrinth Conditioning,Gain +10 to resist intimidation or to deceive. Gain +10 WP to resist interrogation/mind probe.,
Last Killer Standing,Immune to pinning from pistols/basic weapons. +1 AP from cover,Nerves of Steel
Last man standing,Immune to pinning from pistols/basic weapons.,Nerves of Steel
Leap up,Stand up as free action,Ag 30
Legendary,"Gain Fear (1) in combat, add 2 successes to test with profit factor and social interaction",
Light of the Emperor,"Gain +20 vs fear, ignore Fear 1 effects, -20 interraction skills","Pure Faith, Holy Radiance"
Light Sleeper,Count as awake when asleep,Per 30
Lightning Attack,Attack 3 times with Full attack,Swift attack
Lightning Reflexes,Add twice AB to initiative rolls,
Litany of Battle,Allow an ally to spend your fate point to re-roll a failed attack roll,Fel 30
Litany of Hate,Extend benefits of hatred,Hatred
Logis Implant,+10 on BS/WS with successful tech-use,
Lord of Domains,Create a number of holdings (Pg 116),
Luminen Blast,"1d10+WP Energy damage, causes fatigue",Mechanicus Implants
Luminen Charge,"T test to charge or power Tech, causes fatigue",Mechanicus Implants
Luminen Shock,"1d10+3 Energy damage, causes fatigue",Mechanicus Implants
Machinator Array,"Has advanced Mechanicus augmetics (+10 S,T and -5 Ag,Fel)",Mechanicus Implants
Machine Spirit Empathy,"Binary Chatter, Elctro Graft Use, Gun Blessing, Technical Knock","Int 30, Fel 30, Mechanicus Implants"
Maglev Grace,Hover 1d10+TB minutes once per day,Mechanicus Implants
Maglev Transcendence,Hover 2d10+TB minutes once per day,"Mechanicus Implants, Maglev grace"
Major Arcana,Gain a major arcana power,"Willpower 45, Sorcerer"
